text,top_keywords,keyword_scores,predicted_label
gostei demais,"##te, ##i, demais","0.9107, 0.519, 0.4648",positive
Tudo certo só demorou um pouco,"um, só, certo","0.3784, 0.363, 0.3495",positive
Produto conforme anunciado,"anunciado, ##to, conforme","0.4794, 0.2744, 0.2366",positive
Tudo certo com a entrega e com a mercadoria,"com, ##ia, certo","0.8568, 0.7652, 0.6645",positive
 negação foi entregue a quantidade que comprei,"a, foi, que","0.1701, 0.1626, 0.1371",negative
Pedido entregue no tempo certo,"certo, no, tempo","1.1206, 0.6061, 0.5914",positive
Sempre comprei e negação tiver problema porém dessa vem sim meus produtos negação chegou até agora,"até, meus, sim","0.2648, 0.2029, 0.1665",negative
Top,Top,0.0387,positive
Recebi bem antes do prazo produto de boa qualidade,"qualidade, ##bi, do","0.2868, 0.2802, 0.2521",positive
A loja me enviou um produto falso danificado e que sequer condiz com o mesmo modelo da publicidade Impressionante Isso pq havia cancelado antes do envio e ainda assim eviaram contra minha vontade,"dan, Impre, ##s","0.1195, 0.1174, 0.1174",negative
O produto chegou em perfeitas condições o site lannister com provou mais uma vez ser confiável Contudo houve atraso de numero dias na entrega considerando o prazo fornecido pelo próprio site,"houve, de, Contudo","0.7537, 0.5291, 0.4411",positive
Ótimo produto e chegou bem antes do prazo fiquei muito satisfeita,"produto, ##timo, ##eita","0.1231, 0.1012, 0.0892",positive
Ótimo produto Atendeu direitinho,"produto, ##timo, Ate","0.2004, 0.1402, 0.0983",positive
Recebi a mercadoria antes do prazo e em condições muito boa Só negação instalei o testar ainda o produto,"negação, instal, ##ei","0.2236, 0.1906, 0.1718",positive
minha encomenda negação chegou já procurei no correio mais negação tinha nada la e quando rastreio so consta que esta a caminho mais a data e ainda do dia numero numero e negação muda nada quero informaçoes,"nada, já, chegou","0.3248, 0.2348, 0.2149",negative
sem comunicaçao,"##ça, comunica, ##o","1.5252, 0.8856, 0.7487",negative
o prazo de entrega muito antes otimo eu adorei,"##o, otim, antes","0.3007, 0.2586, 0.1772",positive
 negação entregaram e negação entraram em contato comigo para dar uma satisfação,"##am, entregar, entraram","0.1583, 0.1554, 0.12",negative
excelente,excelente,0.0712,positive
recebi dentro do prazo e correto porem poderia ser mais rápido este atendimento do resto ok,"poderia, do, ser","0.2587, 0.2241, 0.2139",positive
Entrega Rápida,"##ga, ##pida, R","0.4438, 0.3779, 0.3447",positive
Produto atendeu a todas expectativas,"##u, expectativas, ##to","0.2779, 0.1933, 0.1828",positive
Gostei do produto frete com preço acessível e recebi na data prevista Parabéns,"##te, e, ##i","0.2219, 0.1366, 0.1223",positive
Chegou antes do prazo Tudo ok,"antes, do, prazo","0.3157, 0.2015, 0.2006",positive
Produto excelente bom bonito gostei muito atendeu as minhas expectativas fiz o teste pra saber sobre prova dagua tudo ok eu recomendo nota mil,"##te, bom, gos","0.1071, 0.0927, 0.0804",positive
Tamanho entregue negação corresponde ao do site,"##o, negação, ao","0.3227, 0.3035, 0.2966",negative
Entregou antes da data prevista estou satisfeito com o produto,"##eito, satisf, da","0.4665, 0.2368, 0.2272",positive
ótimo o trabalho,"o, trabalho, ótimo","0.6838, 0.1838, 0.0277",positive
Estou muito descontente Sempre comprei com vocês Antes negação tinha problema com a entrega Desta vez além de negação entregarem eu nem sei o que aconteceu negação tem nenhuma informação no rastreamento,"##nte, negação, compre","0.1769, 0.0849, 0.0772",negative
Recebi o produto antes do prazo,"do, ##bi, o","0.4384, 0.4015, 0.3271",positive
Rápida na entrega Objeto chegou em perfeito estado,"estado, na, chegou","0.1677, 0.1246, 0.0928",positive
COMPREI DOIS E RECEBI APENAS numero SEGUNDO O ATENDENTE A SEGUNDA ESTAR PARA CHEGAR ATÉ AGORA negação RECEBI NENHUM RASTREAMENTO DA SEGUNDA GRELHA,"R, ##o, ##RA","0.173, 0.0787, 0.0671",negative
Produto devidamente lacrado tudo certo,"lac, certo, ##rado","0.459, 0.3235, 0.2905",positive
Produto de excelente qualidade perfeito,"qualidade, ##to, perfeito","0.1004, 0.091, 0.0795",positive
Sempre tive um certo receio de fazer compras pela Internet resolvi comprar por insistência dos filhos e graças a Deus nunca tive problemas os produtos que comprei no stark sempre foram entregue,"foram, a, entregue","0.2447, 0.1696, 0.1611",positive
O produto chegou antes do prazo o que me deixou muito feliz E estou apaixonada por ela A pia é tudo de bom e muito mais Super recomendo,"##a, por, antes","0.0563, 0.0559, 0.052",positive
Boa loja Recomendo,"loja, ##ndo, Rec","0.3168, 0.2408, 0.2122",positive
Muito boa,"boa, Muito","0.2495, 0.0171",positive
 Chegou muito antes da data prevista Parabéns,"muito, da, ##éns","0.0812, 0.0776, 0.0658",positive
Entrega rápida e produto excelente recomendo,"recomend, e, ##o","0.1704, 0.1509, 0.1442",positive
Produto de qualidade e bom preço,"preço, e, ##to","0.6381, 0.48, 0.3746",positive
Muito bom e rápido,"e, bom, rápido","0.3855, 0.3815, 0.1937",positive
Produto entregue antes do prazo satisfeita com a compra,"##eita, do, antes","0.3425, 0.2265, 0.219",positive
Muito lindo o Relógio,"##do, lin, ##io","0.1853, 0.1781, 0.0924",positive
Ótima qualidade e linda,"qualidade, ##tima, e","0.2293, 0.1989, 0.1826",positive
Recomendo,"##ndo, ##ome, Rec","0.3663, 0.3355, 0.0536",positive
Recebi apenas numero E comprei numero Estou aguardando os numero restantes,"##bi, ##i, numer","0.1197, 0.1158, 0.1122",negative
Boa tarde Recebi o produto no prazo no entanto negação recebi produto correto Como devo proceder Quero devolvê lo pois negação foi o que encomendei e paguei,"negação, ##vê, ##der","0.1772, 0.1709, 0.1667",negative
Recebi dentro do prazo entrega rápida gostei muito,"##te, gos, ##bi","0.3122, 0.2347, 0.2181",positive
produto entregue fora do praso devido a falhas do correio entregue em numero numero obrigado,"em, devido, ##so","0.5407, 0.5023, 0.4475",positive
muito atrasado e negação recebi uma mensagem de nada,"##ado, receb, atras","0.1116, 0.0842, 0.0808",negative
Ótimo produto,"produto, ##timo, Ó","0.4549, 0.3092, 0.0257",positive
Espero que seja sempre assim rápido e produto perfeito,"##ro, e, perfeito","0.2776, 0.163, 0.127",positive
Fiz pedido de dois produtos e um eu negação recebi ainda Isto me gera duvidas quanto ao recebimento,"quanto, du, ##imento","0.2092, 0.1889, 0.1497",negative
produto entre ates do prazo,"##s, ate, entre","2.265, 1.1979, 1.109",positive
Produto de acordo com o esperado e entrega antes do prazo previsto Adorei,"##rei, Ado, do","0.1446, 0.1094, 0.0907",positive
Chegou em Perfeito estado e Funcionando,"##ion, em, estado","0.4001, 0.3352, 0.2841",positive
Recomendo amei,"##ndo, ##i, ##ome","0.2302, 0.2231, 0.2124",positive
Prezados O produto estragou na hora de conectar com o aparelho de numero volts na rede de numero Como faço para voces enviarem outro,"##gou, na, estra","0.6531, 0.3737, 0.2686",negative
Chegou bem antes do prazo informado,"do, bem, antes","0.2776, 0.2422, 0.1969",positive
Precisa cumprir as data de entrega,"##a, as, de","1.6511, 1.3677, 0.9753",negative
Ótimo chegou até bem antes do prazo,"chegou, ##timo, até","0.2928, 0.2379, 0.2259",positive
Produto em si é bom porém veio a cor diferente da que eu comprei,"a, veio, da","0.2757, 0.2703, 0.2233",negative
O produto é excelente e chegou bem antes do prazo Amei comprar nessa loja,"##i, e, é","0.1189, 0.087, 0.0699",positive
super indico entrega super rápida,"##o, super, indic","0.1961, 0.1959, 0.1766",positive
otima,"##a, otim","0.5779, 0.0485",positive
otimo,"##o, otim","0.5781, 0.0578",positive
tudo certo,"certo, tudo","0.3452, 0.0292",positive
Venho somente um produto são numero,"##ho, um, somente","1.1818, 0.9661, 0.6858",negative
O PRAZO DE ENTREGA PODERIA SER MENOR,"P, ##GA, ##O","0.499, 0.3605, 0.3233",negative
Já estou pensando em cancelar o pedido,"##ar, em, estou","0.5394, 0.3204, 0.1805",negative
Produto se diz grande mas negação cabe na criança,"na, cabe, ##to","0.8116, 0.5603, 0.3394",negative
Serviço eficiente Ok,"Ok, eficiente, Serviço","0.4682, 0.3735, 0.0361",positive
produto muito bom,"bom, muito, produto","0.4081, 0.3821, 0.0392",positive
O produto foi entregue no prazo,"no, entregue, foi","0.4771, 0.3849, 0.3224",positive
Bom,Bom,0.0131,positive
recebi no prazo loja confiável os produtos que comprei são maravilhosos amei minha compra,"##i, ##os, ##i","0.1533, 0.1198, 0.1014",positive
Gostei muito do produto e do preco,"##te, ##i, do","0.2896, 0.1883, 0.1712",positive
Chegou na hora que eu mais precisava,"na, que, hora","0.4113, 0.2238, 0.1336",positive
 negação chego meu pedido,"##o, cheg, pedido","0.3547, 0.3395, 0.2425",negative
Loja muito ruim,"muito, ruim, Loja","0.4279, 0.3434, 0.0788",negative
O produto chegou muito rápido em perfeitas condições compra perfeita,"em, rápido, muito","0.1676, 0.1222, 0.1111",positive
só recebi a navalha tá faltando a máquina de cortar cabelo e o kit tesoura,"##ndo, ##i, receb","0.6037, 0.5589, 0.5179",positive
faltou cupom fiscal,"##po, ##tou, ##m","0.529, 0.5001, 0.4537",negative
Ótimo produto,"produto, ##timo, Ó","0.4549, 0.3092, 0.0257",positive
 negação recebi o produto ainda,"##i, receb, ainda","0.2212, 0.205, 0.1913",negative
entrega atrasada produto ainda negação veio,"##ada, atras, veio","0.2189, 0.1984, 0.1645",negative
Recomendo,"##ndo, ##ome, Rec","0.3663, 0.3355, 0.0536",positive
Recomendo,"##ndo, ##ome, Rec","0.3663, 0.3355, 0.0536",positive
Entrega no prazo produto muito bom pelo preço recomendo a loja e o produto,"##o, pelo, bom","0.2154, 0.2105, 0.1592",positive
 negação recebi o produto e o prazo acabou,"receb, ##i, o","0.0992, 0.0882, 0.0735",negative
Comprei dois frascos de vitaminas e recebi apenas um,"##i, ##cos, ##rei","0.1239, 0.0984, 0.0918",negative
o melhor banho que tomei foi com esta ducha excelente,"banho, que, ##cha","0.1126, 0.1059, 0.0822",positive
,,,positive
Recebi o produto bem antes do prazo anunciado Foram muito eficientes Agradeço,"##s, do, ##ço","0.1165, 0.1088, 0.1076",positive
O produto foi entregue antes do prazo,"do, antes, entregue","0.7264, 0.5808, 0.3785",positive
Sou cliente da lannister a muito conforme comprova nos pedidos agora receboo meu pedido faltando itens Comprei numero itens e veio apenas numero como que envia faltando Quero uma solução rápida e imediato,"da, cliente, conforme","0.0963, 0.092, 0.0833",negative
Excelente produto e recebi antes do prazo,"##ente, produto, do","0.2188, 0.118, 0.0934",positive
comprei já paguei e ainda nã recebi,"##i, ##ue, ##i","0.2067, 0.203, 0.1611",negative
Na descrição do produto conta que o mesmo vem com esses Tipos De Plug numero numero Mm Usb mas negação veio com plug USB,"do, veio, ##B","0.3786, 0.2836, 0.2374",negative
A luz da lanterna é forte ideal para quem pedala a noite Possui numero variações de iluminação A buzina é tem o som ideal para alertar os carros ou outros ciclistas e possui numero variações de sons,"de, de, ideal","0.404, 0.3798, 0.3489",positive
Quero cancelar e negação obtenho nenhuma resposta em todos os protocolos que abri,"##ar, resposta, em","0.1731, 0.1421, 0.1325",negative
fiz o pedido de um kit de utensílios de cozinha com numero pecas e recebi um prato prato para bebê de silicone quero o meu produto que foi pedido quero saber como podemos fazer essa troca,"o, o, ##e","0.0986, 0.0956, 0.0802",negative
Otimo,"##timo, O","0.2645, 0.0312",positive
Adequado nos prazos correu td bem,"##o, t, bem","0.2537, 0.2151, 0.2111",positive
Chegou antes do prazo previsto e super recomendo ótimo vendedor e fui muito bem atendida,"vende, antes, ##dida","0.0995, 0.0758, 0.0649",positive
pedi casio prata com fundo preto veio com fundo branco,"##i, ##io, cas","1.5435, 1.1544, 0.8048",negative
Até o momento negação recebi o produto Protetor De Colchão Para Berço Algodão Impermeável já fiz a reclamação desde o dia numero numero e ainda negação obtive retorno Irei cancelar o pedido e estornar a compra hj,"negação, ##i, ##r","0.0828, 0.0729, 0.072",negative
Tudo funcionando mas percebi alguns arranhões no corpo da máquina Nada que influencie o uso mas pelo valor fiquei frustrado com a loja,"mas, ##do, funcionando","0.4891, 0.4731, 0.3285",negative
A carteira tem um bom material mas é muito grande Bem maior que a foto,"maior, Bem, mas","0.4088, 0.375, 0.3379",negative
Deveriam estipular um preço mínimo para o frete grátis,"para, mínimo, ##tis","0.2725, 0.2577, 0.2436",positive
RECUSEI A ENTREGA DO PRODUTO PORQUE CHEGOU TODO QUEBRADO ESTOU NO AGUARDO DO RESSARCIMENTO DO VALOR,"##EI, ##US, ##RA","0.8597, 0.5803, 0.5068",negative
Eu gostei é bom produto qualidade boa,"##te, gos, boa","0.2168, 0.1826, 0.169",positive
Balança muito bonita prática e confiável na sua informação do peso,"muito, prática, na","0.2197, 0.2107, 0.1636",positive
otimos produtos perfeita qualidade estou muito satisfeito,"##os, ##eito, qualidade","0.2381, 0.1334, 0.1134",positive
Recomendo,"##ndo, ##ome, Rec","0.3663, 0.3355, 0.0536",positive
FUNCIONA BEM TE SOMENTE UMA ESCOVA,"T, ##VA, ##CO","1.2371, 1.2236, 0.774",positive
Já instalei e já está funcionando perfeitamente,"perfeitamente, ##ei, instal","0.216, 0.1429, 0.1239",positive
Bom entrega antes do prazo,"entrega, antes, do","0.4979, 0.4405, 0.3669",positive
RECOMENDO ÓTIMO PRODUTO VENDEDORES COM MUITA RESPONSABILIDADE PARABÉNS A TODOS,"##BI, ##M, ##L","0.1459, 0.1422, 0.1259",positive
 Excelente suporte com regulagem de inclinação bastante satisfatória Recomendo este produto,"##ente, suporte, ##tória","0.2631, 0.1582, 0.1383",positive
Achei o produto muito pequeno e o material fraco Como os produtos do baratheon são de ótima qualidade deixou a desejar,"##r, Como, a","0.3074, 0.2161, 0.2039",negative
Só acho que se fosse entregue através de transportadora seria mais rápido,"acho, que, através","0.1832, 0.1694, 0.1532",positive
ENTREGA BEM ANTES DO PRAZO MATERIAL MUITO BOM UNICA RESALVA É QUE A COR DO PATINS VEIO DIFERENTE MAS A MINHA ADOROU A COR TBM SATISFEITA COM O PRODUTO,"##ER, ##A, ##S","0.554, 0.3792, 0.3745",positive
bom,bom,0.0152,positive
Bom dia eu só queria entender o por quê vocês colocam quê negação será entregue em minha residência quê será entregue ná agência dos Correios mais próxima sendo quê o frete foi incluso na compra,"##o, o, entender","0.2663, 0.2505, 0.2401",negative
Compra feita a mais de numero dias e negação foi entregue ainda,"##ra, a, e","0.1442, 0.112, 0.1069",negative
Muita demora,"##ra, ##ita, demo","0.8841, 0.619, 0.5983",negative
otima entrega,"##a, entrega, otim","0.6891, 0.2036, 0.0432",positive
Recebi tudo certo porem veio trincada a cuba preciso da troca com urgencia,"##bi, ##cada, trin","0.2229, 0.2185, 0.2071",positive
Ótimo,"##timo, Ó","0.4036, 0.036",positive
muito boa,"boa, muito","0.2228, 0.0301",positive
O produto foi cancelado pela empresa e nem se quer me comunicaram o porque do cancelamento e o valor negação foi restituído até hoje,"pela, foi, ##ído","0.0905, 0.0667, 0.0649",negative
sem comentarios muito confusa a informação sobre entrega,"##usa, ##ios, muito","0.4134, 0.4078, 0.3732",negative
Gostei,"##te, ##i, Gos","0.3298, 0.231, 0.0176",positive
Minutos após efetuar a compra pelo site percebi que havia comprado o produto errado Tentei cancelar através do site telefone e mail Infelizmente negação obtendo resposta e negação conseguindo cancelar a c,"negação, ##ar, ##ar","0.2404, 0.2216, 0.165",negative
NO entanto ainda falta o outro produto do mesmo pedido,"o, do, ainda","0.2386, 0.2186, 0.212",positive
 negação recebi o produto,"receb, ##i, o","0.2117, 0.1921, 0.1435",negative
Muito bom vendedor vou recomendar aos Amigos,"bom, vende, ##dor","0.1764, 0.154, 0.1317",positive
Quero saber o que vão fazer se vão devolver o dinheiro ou reenviar o produto e negação tive uma resposta,"##ver, ##via, ##r","0.1041, 0.0958, 0.0926",negative
Amei o produto material bom Ótimo vendedor atencioso e esclarecido Recomendo com certeza,"##i, Ó, bom","0.1459, 0.0906, 0.0835",positive
Tudo Ok,"Ok, Tudo","0.5436, 0.0356",positive
O produto chegou antes do prazo esperado Estou muito satisfeita,"##eita, Est, satisf","0.3057, 0.1733, 0.1493",positive
ÓTIMO PRODUTO E DE EXCELENTE QUALIDADE RECOMENDO,"##TI, ##M, ##O","0.1974, 0.1759, 0.0868",positive
Fiz a compra do kit de quatro pneus A entrega foi feita fora do prazo e ainda quando recebi chegou apenas numero unidades Deprimente,"##mente, e, do","0.1216, 0.0832, 0.0771",negative
Recomendo chegou super rapido produto bom tudo certo,"super, tudo, certo","0.3724, 0.273, 0.2483",positive
EU GOSTEI MUITO DE SUAS ENTREGAS FOI MUITO BOM PARABÉNS E OBRIGADO PELO GENTILEZA,"##TE, ##É, PA","0.1255, 0.0963, 0.0787",positive
ótimooo,"##o, ##o, ótimo","0.6152, 0.2467, 0.0489",positive
ainda negação recebi o produto mas sem receber o produto a avaliação fica furada,"##da, fica, ##i","0.297, 0.1743, 0.1185",negative
Efetuei a compra aonde vinham dois fracos do produto De fato entregaram o pacote e assinei como recebido porém veio somente um frasco E o outro Verdadeiro descaso com o consumidor,"com, ##iro, do","0.097, 0.0714, 0.0675",negative
Achei que poderiam ser mais agil na entrega demora muito para ser entregue,"##il, demo, ##ei","0.2628, 0.2505, 0.249",negative
Minha opinião é que foi propaganda enganosa mostrou um produto e mandou faltando peças isso negação está certo,"é, ##osa, está","0.2521, 0.2244, 0.2122",negative
Produto negação entregue,"entregue, ##to, negação","0.4287, 0.3222, 0.2554",negative
Ótimo,"##timo, Ó","0.4036, 0.036",positive
Produto de otima qualidade chegou muito rapido,"##ido, ##a, rap","0.3378, 0.2638, 0.2179",positive
produto entregue antes da data prevista foi ótimo,"da, foi, entregue","0.2546, 0.2368, 0.2203",positive
Qualquer produto que eu compre com você recebo dentro do prazo e das qualificações Continuem assim É a seriedade do trabalho que fará o Brasil virar um país de excelência na prestação de serviços,"##o, do, produto","0.1204, 0.1179, 0.0981",positive
RECEBI ANTES DO PRAZO PRODUTO ÓTIMO BEM EMBALADO,"##TE, ##S, ##M","0.2262, 0.1633, 0.1593",positive
O objeto era para minha filha ela ficou satisfeita,"##eita, satisf, era","0.5587, 0.2455, 0.2125",positive
Adorei muito o meu relogio,"##rei, muito, o","0.2471, 0.1998, 0.1237",positive
Preços excelentes,"excelentes, ##ços, Pre","0.2407, 0.2358, 0.0347",positive
Eu comprei dois produtos um adesivo de parede e um estoscopio só recebi um produto o esto falta o adesivo e está constando como recebi no site,"o, falta, só","0.4371, 0.2754, 0.2494",negative
Muito bom ótimo,"ótimo, bom, Muito","0.2762, 0.2635, 0.0362",positive
muito bom prpduto de qualidade prazo correto preco justo adorei Obrigada,"justo, ado, bom","0.1277, 0.1224, 0.1122",positive
Produto veio diferente ao anuncuado Liguei e só esperando o código para a devolução do produto e reembolso do valor pago,"ao, diferente, o","0.2897, 0.1756, 0.1667",negative
O produto foi entregue antes do prazo recomendo o vendedor muito bom mesmo,"mesmo, do, ##o","0.223, 0.2, 0.1697",positive
Muito satisfeito,"##eito, satisf, Muito","0.3079, 0.2295, 0.0379",positive
Razoável,"##ável, ##zo, Ra","0.6139, 0.5485, 0.0603",negative
Produto dentro do esperado,"do, ##to, dentro","0.3217, 0.1989, 0.1503",positive
Excelente o processo de compra e entrega do produto Recomendo,"##ente, o, ##ndo","0.5295, 0.2728, 0.1202",positive
Prazo mto longo,"m, ##zo, ##to","10.0012, 9.7542, 3.4524",negative
GOSTEI MUITO DESTE PRODUTO ALÉM DE MUITO BONITO RESISTENTE E UM EXCELENTE ACABEMENTO VALEU A PENA,"##A, ##TE, ##E","0.2943, 0.2924, 0.2888",positive
O prazo para receber o produto era no dia numero numero mas até hoje nem sinal do mesmo já fazia dias que eu tentava entrar em contato ontem recebi uma ligação da empresa falando para aguardar Vamos ver,"##mos, ##r, do","0.2344, 0.2157, 0.1868",negative
Entrega negação foi feita e tive grande dificuldade para obter uma explicavao e tentar resolver Ate agora ainda negação esta resolvido,"foi, ##ga, e","0.1281, 0.119, 0.0883",negative
Muito confortável,"##tável, confor, Muito","0.6549, 0.5727, 0.0668",positive
Chegou o mais rápido que esperava e o produto de qualidade Achei muito fofo a mensagem para o entregador Parabens,"##fo, ##s, o","0.085, 0.0846, 0.0772",positive
Obs só este produto foi entregue Lençol Avulso Com Elástico Solteiro Malha Penteada Verde,"só, Len, este","0.5878, 0.5272, 0.4043",negative
 negação recebi a nota fiscal Favor providenciar,"##encia, provid, Fa","0.442, 0.3865, 0.3848",negative
Adorei estamos usando muito em casa a loja foi rápida na postagem,"##rei, estamos, na","0.178, 0.1361, 0.1019",positive
É lindo e bem grande maior do q pensei super recomendo,"maior, ##do, do","0.216, 0.1309, 0.1304",positive
Ótimo,"##timo, Ó","0.4036, 0.036",positive
 negação gostei do produto qualidade ruim,"##te, ruim, gos","0.2524, 0.211, 0.2057",negative
recebi td certinho,"##tinho, ##i, ##d","0.4415, 0.3557, 0.3239",positive
uma das poltronas faltando os numero pés palito,"##ndo, ##ito, os","0.742, 0.4321, 0.3561",negative
Parece mais uma lona e só vem uma parte da cortina,"##ce, uma, mais","0.3584, 0.2902, 0.2656",negative
 numero de numero cartuchos negação funcionou mensagem de incompatibilidade e depois nenhuma impressão após ajustes nas configurações e páginas de teste Solicitei devolução e troca deste cartucho o outro ok,"mensagem, funcionou, após","0.2494, 0.2458, 0.1737",negative
Ainda negação recebi minha compra Isso é uma falta de vergonha,"é, de, negação","0.1026, 0.0974, 0.0869",negative
Lindo amei Preço super Bom,"##o, ##i, Bom","0.2159, 0.1541, 0.1433",positive
Boa,Boa,0.0208,positive
um dos produtos teve um atraso mas geral veio certo entao recomendo,"##o, ##ao, mas","0.5448, 0.5145, 0.4102",positive
Recebi o e mail perguntando se eu recebi meu produto porem já passou do prazo de entrega e ainda negação recebi meu produto e diz que se eu negação responder o e mail seria dado como produto entregue,"##bi, o, do","0.0564, 0.0486, 0.0483",negative
Meu produto ainda negação foi entregue estou muito insatisfeito com a loja,"estou, ##eito, produto","0.1235, 0.1153, 0.1073",negative
Produto entregue em antes do prazo previsto em excelentes condições Parabéns,"condições, Para, ##to","0.1808, 0.1016, 0.0989",positive
EU RECOMENDO PRA MEUS MELHORES AMIGOS obg,"##g, ##EN, R","0.1968, 0.1791, 0.116",positive
 negação recebi meu produto ainda,"receb, ##i, meu","0.1832, 0.1741, 0.1464",negative
Chegou até antes do dia gostei do produto e recomendo espero que dure na mão da minha filha kkk,"##te, até, do","0.2435, 0.1717, 0.1425",positive
O produto chegou em ordem e no dia certo,"e, em, certo","0.3713, 0.3535, 0.2215",positive
O produto está quebrado,"quebrado, está, produto","0.2755, 0.2374, 0.1717",negative
Bom a cuba chegou no prazo e é uma cuba bonita e com design moderno,"e, a, e","0.2767, 0.241, 0.1694",positive
Ainda estou aguardando o produto aceito justificativas há muito tempo que compro nas lojas lannister e essa façanha ainda negação tinha acontecido Aguardo solução,"##ardo, solução, ##ndo","0.3153, 0.3084, 0.1869",negative
Tudo correu conforme combinado Entrega feita mais rápida do que pré determinada,"correu, conforme, Entre","0.1842, 0.174, 0.1505",positive
lindos,"##dos, lin","0.3632, 0.0323",positive
Infelizmente o produto veio com defeito Acessei o site da lannister informando que quero devolver o produto em razão de o mesmo ter vindo com defeito mas parece que falo com uma máquina,"o, ##ito, ##ver","0.4352, 0.2113, 0.1969",negative
Ótimo,"##timo, Ó","0.4036, 0.036",positive
Adorei a mercadoria os espelhos são como os do anúncio a cola é super resistente negação solta da parede e vem com uma película de proteção que protege os espelhos contra arranhões Recomendo,"##rei, a, negação","0.2824, 0.1738, 0.0937",positive
Boa noite compro nas lojas lannister a numero anos e recomendo pois tudo chega dentro do prazo e com a mesma qualidade que é apresentado no site muito obrigado por fazer parte da minha família,"por, obrigado, noite","0.1935, 0.1101, 0.1005",positive
Por enquanto chegou só um produto e de cor errada pedi verde e veio rosa mas como eu vou mudar precisei usar dessa cor mesmo enquanto o outro está escrito que foi entregue e negação chegou,"só, ##rada, chegou","0.2254, 0.21, 0.1994",negative
Produto atendeu as expectativas,"##u, ##to, atende","0.4106, 0.2887, 0.239",positive
Ótimo Entrega e mercadoria perfeita,"Entre, ##timo, ##ga","0.1684, 0.1405, 0.1153",positive
O Kit comprado era composto por numero peças mas apenas numero foram entregues,"era, numer, comprado","0.1848, 0.1562, 0.1535",negative
tudo normal,"normal, tudo","0.5133, 0.052",positive
O modelo entregue negação foi compatível ao Cruize LT,"ao, negação, foi","0.4307, 0.3433, 0.2784",negative
preço bom entrega no prazo,"bom, entrega, no","0.5038, 0.4861, 0.4509",positive
Achei que o produto negação esta de acordo com o mostruário Bem inferior,"##ário, inferior, esta","0.4265, 0.389, 0.3506",negative
Antes da data prevista,"da, prevista, data","1.286, 0.6693, 0.4186",positive
O controle remoto negação funciona direito Utiliza se uma vez e depois negação funciona mais,"Util, funciona, ##to","0.2676, 0.2293, 0.2175",negative
ok,"##k, o","0.1263, 0.0138",positive
